Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date,SqFt,# Beds
Single Family Resi,1.34,2019,8,20,8/10/19,1673.0,3.0
Condominium,1.7,2019,8,20,8/4/19,1474.0,3.0
See Remarks,1.14,2019,8,20,8/15/19,781.0,1.0
Duplex,0.69,2019,8,20,8/1/19,1528.0,1.0
Duplex,1.65,2019,8,20,8/29/19,650.0,1.0
Quadruplex,1.5,2019,8,20,8/23/19,800.0,2.0
Quadruplex,1.04,2019,8,20,8/21/19,1179.0,2.0
Single Family Resi,1.68,2019,8,20,8/28/19,746.0,2.0
Single Family Resi,0.49,2019,8,20,8/1/19,2533.0,1.0
Apartment,1.52,2019,8,20,8/1/19,850.0,1.0
Condominium,1.09,2019,8,20,8/1/19,1236.0,3.0
Duplex,0.7,2019,8,20,8/24/19,1960.0,2.0
Duplex,0.93,2019,8,20,8/26/19,1506.0,2.0
Condominium,1.13,2019,8,20,8/30/19,1235.0,2.0
Duplex,1.59,2019,8,20,8/5/19,880.0,2.0
Condominium,1.84,2019,8,20,8/16/19,789.0,2.0
Apartment,1.5,2019,8,20,8/1/19,990.0,2.0
Quadruplex,0.31,2019,8,20,8/19/19,4859.0,3.0
Single Family Resi,1.75,2019,8,20,8/17/19,858.0,3.0
Duplex,1.43,2019,8,20,8/28/19,1050.0,3.0
Single Family Resi,1.61,2019,8,20,8/1/19,960.0,3.0
Single Family Resi,1.25,2019,8,20,8/18/19,1275.0,3.0
Single Family Resi,1.78,2019,8,20,8/1/19,896.0,3.0
Duplex,1.6,2019,8,20,8/1/19,1000.0,3.0
Single Family Resi,2.12,2019,8,20,8/20/19,798.0,2.0
Single Family Resi,2.16,2019,8,20,8/5/19,784.0,2.0
Single Family Resi,2.36,2019,8,20,8/15/19,718.0,2.0
Single Family Resi,1.29,2019,8,20,8/15/19,1317.0,3.0
Duplex,1.34,2019,8,20,8/31/19,1336.0,3.0
Single Family Resi,1.4,2019,8,20,8/8/19,1284.0,3.0
Single Family Resi,0.73,2019,8,20,8/6/19,2468.0,3.0
Single Family Resi,1.54,2019,8,20,8/15/19,1200.0,3.0
Single Family Resi,1.31,2019,8,20,8/1/19,1450.0,4.0
Single Family Resi,2.2,2019,8,20,8/9/19,863.0,2.0
Single Family Resi,1.14,2019,8,20,8/10/19,1672.0,3.0
Single Family Resi,1.39,2019,8,20,8/3/19,1388.0,3.0
Single Family Resi,1.99,2019,8,20,8/19/19,980.0,3.0
Single Family Resi,1.19,2019,8,20,8/24/19,1637.0,3.0
Single Family Resi,1.45,2019,8,20,8/1/19,1359.0,3.0
Duplex,1.15,2019,8,20,8/2/19,1714.0,3.0
Single Family Resi,1.78,2019,8,20,8/28/19,1177.0,3.0
Single Family Resi,2.92,2019,8,20,8/9/19,720.0,2.0
Single Family Resi,2.11,2019,8,20,8/23/19,1018.0,3.0
Single Family Resi,1.27,2019,8,20,8/9/19,1726.0,3.0
Condominium,1.6,2019,8,20,8/2/19,1375.0,3.0
Single Family Resi,1.45,2019,8,20,8/26/19,1588.0,3.0
Single Family Resi,1.27,2019,8,20,8/19/19,1812.0,4.0
Single Family Resi,1.57,2019,8,20,8/12/19,1462.0,4.0
Duplex,0.77,2019,8,20,8/14/19,2970.0,3.0
Single Family Resi,1.21,2019,8,20,8/17/19,1900.0,4.0
Single Family Resi,1.27,2019,8,20,8/20/19,1854.0,4.0
Single Family Resi,1.9,2019,8,20,8/4/19,1234.0,3.0
Single Family Resi,1.41,2019,8,20,8/29/19,1736.0,4.0
Townhouse,1.35,2019,8,20,8/26/19,1814.0,3.0
Single Family Resi,1.52,2019,8,20,8/1/19,1640.0,3.0
Single Family Resi,1.82,2019,8,20,8/14/19,1372.0,3.0
Condominium,1.7,2019,8,20,8/1/19,1650.0,3.0
Townhouse,1.51,2019,8,20,8/1/19,1918.0,3.0
Single Family Resi,1.42,2019,8,20,8/6/19,2218.0,4.0
