Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date
Townhouse,1.51,2019,8,20,8/1/19
Single Family Resi,1.42,2019,8,20,8/6/19
Single Family Resi,1.67,2019,8,20,8/5/19
Townhouse,1.55,2019,8,20,8/20/19
Single Family Resi,1.35,2019,8,20,8/13/19
Single Family Resi,1.47,2019,8,20,8/15/19
Single Family Resi,1.25,2019,8,20,8/30/19
Single Family Resi,1.02,2019,8,20,8/15/19
Single Family Resi,1.02,2019,8,20,8/25/19
Single Family Resi,1.02,2019,8,20,8/5/19
Single Family Resi,0.92,2019,8,20,8/31/19
Single Family Resi,0.93,2019,8,20,8/2/19
Single Family Resi,0.94,2019,8,20,8/8/19
Single Family Resi,1.25,2019,8,20,8/4/19
Single Family Resi,1.27,2019,8,20,8/24/19
Single Family Resi,1.41,2019,8,20,8/5/19
Single Family Resi,1.5,2019,8,20,8/4/19
Condominium,2.09,2019,8,20,8/9/19
See Remarks,2.28,2019,8,20,8/18/19
Apartment,1.8,2019,8,20,8/12/19
See Remarks,0.84,2019,8,20,8/9/19
See Remarks,1.71,2019,8,20,8/30/19
Apartment,2.36,2019,8,20,8/5/19
Apartment,2.41,2019,8,20,8/5/19
Apartment,2.41,2019,8,20,8/9/19
See Remarks,2.45,2019,8,20,8/20/19
Apartment,1.71,2019,8,20,8/30/19
Condominium,2.4,2019,8,20,8/6/19
Apartment,2.5,2019,8,20,8/23/19
Apartment,2.5,2019,8,20,8/5/19
Apartment,2.5,2019,8,20,8/24/19
Apartment,1.95,2019,8,20,8/1/19
Apartment,2.56,2019,8,20,8/23/19
Apartment,3.07,2019,8,20,8/19/19
Apartment,2.15,2019,8,20,8/23/19
Apartment,1.87,2019,8,20,8/30/19
Quadruplex,1.68,2019,8,20,8/1/19
Quadruplex,1.69,2019,8,20,8/13/19
Condominium,2.66,2019,8,20,8/10/19
Quadruplex,1.71,2019,8,20,8/1/19
See Remarks,1.25,2019,8,20,8/25/19
Single Family Resi,1.49,2019,8,20,8/1/19
Quadruplex,1.6,2019,8,20,8/13/19
Apartment,1.69,2019,8,20,8/30/19
Apartment,1.43,2019,8,20,8/7/19
Apartment,1.72,2019,8,20,8/30/19
Duplex,1.01,2019,8,20,8/10/19
Apartment,1.76,2019,8,20,8/30/19
Duplex,2.35,2019,8,20,8/16/19
Single Family Resi,2.36,2019,8,20,8/16/19
Condominium,1.65,2019,8,20,8/10/19
Condominium,1.5,2019,8,20,8/1/19
Condominium,1.76,2019,8,20,8/7/19
Apartment,1.63,2019,8,20,8/14/19
Single Family Resi,3.39,2019,8,20,8/1/19
Condominium,1.58,2019,8,20,8/30/19
Condominium,1.79,2019,8,20,8/15/19
Duplex,1.86,2019,8,20,8/6/19
Condominium,2.02,2019,8,20,8/15/19
Apartment,1.82,2019,8,20,8/6/19
Single Family Resi,2.52,2019,8,20,8/25/19
Triplex,1.91,2019,8,20,8/19/19
Duplex,1.78,2019,8,20,8/1/19
Duplex,1.37,2019,8,20,8/3/19
Apartment,1.88,2019,8,20,8/7/19
See Remarks,1.88,2019,8,20,8/7/19
Apartment,1.91,2019,8,20,8/6/19
Duplex,1.55,2019,8,20,8/15/19
See Remarks,1.36,2019,8,20,8/22/19
Condominium,1.73,2019,8,20,8/31/19
Condominium,1.85,2019,8,20,8/23/19
Condominium,1.93,2019,8,20,8/12/19
Single Family Resi,2.8,2019,8,20,8/28/19
Duplex,0.63,2019,8,20,8/28/19
Single Family Resi,1.7,2019,8,20,8/14/19
Single Family Resi,1.61,2019,8,20,8/2/19
Single Family Resi,2.12,2019,8,20,8/28/19
Single Family Resi,1.83,2019,8,20,8/1/19
Duplex,1.64,2019,8,20,8/13/19
Single Family Resi,1.27,2019,8,20,8/23/19
Single Family Resi,1.42,2019,8,20,8/26/19
Single Family Resi,1.68,2019,8,20,8/1/19
Duplex,1.75,2019,8,20,8/4/19
Quadruplex,2.21,2019,8,20,8/10/19
Single Family Resi,1.79,2019,8,20,8/15/19
Triplex,1.75,2019,8,20,8/1/19
Single Family Resi,2.21,2019,8,20,8/6/19
Single Family Resi,2.4,2019,8,20,8/14/19
Single Family Resi,2.01,2019,8,20,8/1/19
Triplex,0.51,2019,8,20,8/9/19
Single Family Resi,1.69,2019,8,20,8/23/19
Single Family Resi,2.42,2019,8,20,8/1/19
Single Family Resi,1.78,2019,8,20,8/5/19
Single Family Resi,2.0,2019,8,20,8/1/19
Single Family Resi,1.29,2019,8,20,8/1/19
Single Family Resi,1.34,2019,8,20,8/25/19
Condominium,1.51,2019,8,20,8/13/19
Single Family Resi,1.84,2019,8,20,8/27/19
Single Family Resi,1.71,2019,8,20,8/22/19
Single Family Resi,1.67,2019,8,20,8/7/19
Condominium,2.09,2019,8,20,8/16/19
Single Family Resi,1.66,2019,8,20,8/1/19
Single Family Resi,1.78,2019,8,20,8/10/19
Condominium,1.8,2019,8,20,8/2/19
Single Family Resi,1.76,2019,8,20,8/1/19
Single Family Resi,2.02,2019,8,20,8/4/19
Single Family Resi,1.85,2019,8,20,8/1/19
Duplex,1.07,2019,8,20,8/1/19
Single Family Resi,1.54,2019,8,20,8/5/19
Triplex,0.57,2019,8,20,8/9/19
Single Family Resi,1.98,2019,8,20,8/8/19
Duplex,1.51,2019,8,20,8/6/19
Single Family Resi,1.67,2019,8,20,8/15/19
Condominium,1.76,2019,8,20,8/17/19
Duplex,0.77,2019,8,20,8/1/19
Single Family Resi,2.03,2019,8,20,8/14/19
Single Family Resi,1.5,2019,8,20,8/17/19
Single Family Resi,1.46,2019,8,20,8/5/19
Condominium,1.82,2019,8,20,8/1/19
Single Family Resi,2.53,2019,8,20,8/21/19
Single Family Resi,1.81,2019,8,20,8/15/19
Single Family Resi,2.21,2019,8,20,8/1/19
Single Family Resi,1.61,2019,8,20,8/10/19
Single Family Resi,1.61,2019,8,20,8/30/19
Apartment,1.44,2019,8,20,8/12/19
Single Family Resi,2.45,2019,8,20,8/15/19
Single Family Resi,2.53,2019,8,20,8/23/19
Duplex,0.71,2019,8,20,8/22/19
Single Family Resi,2.08,2019,8,20,8/7/19
Single Family Resi,3.25,2019,8,20,8/5/19
Single Family Resi,0.78,2019,8,20,8/1/19
Duplex,1.16,2019,8,20,8/9/19
Duplex,3.18,2019,8,20,8/24/19
Duplex,3.06,2019,8,20,8/26/19
Single Family Resi,1.82,2019,8,20,8/8/19
Duplex,0.85,2019,8,20,8/4/19
Duplex,2.65,2019,8,20,8/20/19
Condominium,2.42,2019,8,20,8/22/19
Single Family Resi,1.51,2019,8,20,8/7/19
Single Family Resi,1.7,2019,8,20,8/1/19
Condominium,2.12,2019,8,20,8/14/19
